224.188,256.832,0.55
224.495,254.856,0.55
224.83,252.885,0.55
225.258,250.931,0.55
225.687,248.977,0.55
226.115,247.024,0.55
226.544,245.07,0.55
226.994,243.123,0.55
227.573,241.208,0.55
228.153,239.294,0.55
228.732,237.38,0.55
229.311,235.465,0.55
229.923,233.561,0.55
230.56,231.666,0.55
231.197,229.77,0.55
231.834,227.874,0.55
232.488,225.984,0.55
233.145,224.095,0.55
233.843,222.222,0.55
234.627,220.382,0.55
235.411,218.542,0.55
236.194,216.702,0.55
237.021,214.881,0.55
237.855,213.063,0.55
238.69,211.245,0.55
239.565,209.447,0.55
240.46,207.659,0.55
241.355,205.87,0.55
242.251,204.082,0.55
243.152,202.296,0.55
244.052,200.511,0.55
244.953,198.725,0.55
245.854,196.939,0.55
246.881,195.226,0.55
247.963,193.544,0.55
249.044,191.861,0.55
250.126,190.179,0.55
251.207,188.497,0.55
252.289,186.814,0.55
253.457,185.192,0.55
254.653,183.589,0.55
255.848,181.986,0.55
257.042,180.381,0.55
258.167,178.727,0.55
259.292,177.073,0.55
260.416,175.42,0.55
261.541,173.766,0.55
262.703,172.138,0.55
263.871,170.515,0.55
265.04,168.892,0.55
266.21,167.27,0.55
267.449,165.7,0.55
268.689,164.13,0.55
269.928,162.56,0.55
271.167,160.99,0.55
272.406,159.42,0.55
273.646,157.851,0.55
274.899,156.293,0.55
276.153,154.734,0.55
277.406,153.176,0.55
278.659,151.617,0.55
279.948,150.089,0.55
281.308,148.623,0.55
282.668,147.156,0.55
284.028,145.69,0.55
285.388,144.224,0.55
286.748,142.757,0.55
288.108,141.291,0.55
289.469,139.825,0.55
290.834,138.364,0.55
292.237,136.938,0.55
293.64,135.512,0.55
295.043,134.087,0.55
296.511,132.729,0.55
297.988,131.381,0.55
299.466,130.033,0.55
300.951,128.694,0.55
302.459,127.38,0.55
303.967,126.066,0.55
305.474,124.752,0.55
306.982,123.438,0.55
308.363,121.994,0.55
309.721,120.525,0.55
311.079,119.057,0.55
312.436,117.588,0.55
678.742,44.898,0.5
678.138,46.805,0.5
677.535,48.712,0.5
676.931,50.618,0.5
676.328,52.525,0.5
675.724,54.432,0.5
675.12,56.339,0.5
674.517,58.245,0.5
673.913,60.152,0.5
673.31,62.059,0.5
672.706,63.966,0.5
672.102,65.872,0.5
671.499,67.779,0.5
670.895,69.686,0.5
670.292,71.593,0.5
669.666,73.492,0.5
669.029,75.388,0.5
668.393,77.284,0.5
667.756,79.18,0.5
667.12,81.076,0.5
666.483,82.972,0.5
665.847,84.868,0.5
665.21,86.764,0.5
664.574,88.66,0.5
663.937,90.556,0.5
663.26,92.438,0.5
662.562,94.312,0.5
661.864,96.186,0.5
661.166,98.06,0.5
660.468,99.935,0.5
659.77,101.809,0.5
659.071,103.683,0.5
658.373,105.557,0.5
657.675,107.432,0.5
656.977,109.306,0.5
656.279,111.18,0.5
655.581,113.054,0.5
654.883,114.928,0.5
654.185,116.803,0.5
653.487,118.677,0.5
652.789,120.551,0.5
652.091,122.425,0.5
651.393,124.3,0.5
650.716,126.181,0.5
650.057,128.07,0.5
649.398,129.958,0.5
648.74,131.847,0.5
648.081,133.735,0.5
647.422,135.623,0.5
646.763,137.512,0.5
646.105,139.4,0.5
645.446,141.289,0.5
644.787,143.177,0.5
644.128,145.065,0.5
643.47,146.954,0.5
642.811,148.842,0.5
642.152,150.731,0.5
641.493,152.619,0.5
640.834,154.507,0.5
640.176,156.396,0.5
639.517,158.284,0.5
638.858,160.172,0.5
638.207,162.064,0.5
637.572,163.96,0.5
636.937,165.857,0.5
636.302,167.753,0.5
635.667,169.649,0.5
635.032,171.546,0.5
634.396,173.442,0.5
633.761,175.339,0.5
633.126,177.235,0.5
632.491,179.132,0.5
631.856,181.028,0.5
631.221,182.925,0.5
630.585,184.821,0.5
629.95,186.718,0.5
629.311,188.613,0.5
628.666,190.506,0.5
628.022,192.399,0.5
627.378,194.293,0.5
626.734,196.186,0.5
626.09,198.08,0.5
625.432,199.968,0.5
624.692,201.826,0.5
623.952,203.684,0.5
623.212,205.542,0.5
622.472,207.4,0.5
621.732,209.258,0.5
620.992,211.116,0.5
620.252,212.975,0.5
619.512,214.833,0.5
618.705,216.662,0.5
617.884,218.486,0.5
617.062,220.309,0.5
616.241,222.133,0.5
615.42,223.957,0.5
614.599,225.78,0.5
613.739,227.584,0.5
612.75,229.323,0.5
611.761,231.061,0.5
610.772,232.8,0.5
609.784,234.538,0.5
608.795,236.277,0.5
607.806,238.015,0.5
606.817,239.754,0.5
605.829,241.492,0.5
604.84,243.231,0.5
603.851,244.969,0.5
602.862,246.708,0.5
601.86,248.438,0.5
600.792,250.129,0.5
599.723,251.819,0.5
598.655,253.51,0.5
597.586,255.201,0.5
596.517,256.891,0.5
595.449,258.582,0.5
594.34,260.245,0.5
593.174,261.87,0.5
592.008,263.495,0.5
590.842,265.12,0.5
589.675,266.745,0.5
588.509,268.369,0.5
587.343,269.994,0.5
586.177,271.619,0.5
585.01,273.244,0.5
583.844,274.868,0.5
582.678,276.493,0.5
581.512,278.118,0.5
580.259,279.676,0.5
578.99,281.222,0.5
577.721,282.768,0.5
576.451,284.313,0.5
575.182,285.859,0.5
573.913,287.405,0.5
572.644,288.95,0.5
571.374,290.496,0.5
570.105,292.042,0.5
